gpslati,gpslong,nodeid,nodenm,nodeno
37.3848833,126.9727333,GGB226000134,농수산물시장.포일단지입구,27067
37.3787167,126.9705333,GGB226000135,안양남초등학교,27057
37.3746,126.9676333,GGB226000136,샘마을단지.대안중.대안여중,27050
37.3791833,126.9755833,GGB226000140,계원예술대학교,27070
37.38915,126.98225,GGB226000142,내손초등학교.인덕원퍼스비엘아파트,27146
37.3854833,126.98205,GGB226000143,등대교회.인덕원자이SK뷰아파트,27068
37.3846833,126.9838333,GGB226000149,포일성당,27144
37.3866,126.98465,GGB226000150,백운고등학교,27143
37.3592,126.9665,GGB226000154,근로자복지회관,27142
37.36355,126.9660333,GGB226000166,가구단지입구,27159
37.3633833,126.9660167,GGB226000167,가구단지입구,27160
37.3983333,126.9866333,GGB226000168,통합농협IT센터.에이스청계타워,27161
37.3970333,126.9869333,GGB226000169,에이스청계타워,27162
37.3857667,126.9814,GGB226000175,등대교회.인덕원자이SK뷰아파트,27168
37.3649833,126.96445,GGB226000176,신원수선화아파트,27169
37.3925,126.9855,GGB226000188,인덕원푸르지오엘센트로후문,27184
37.3922667,126.9855833,GGB226000189,인덕원푸르지오엘센트로후문,27183
37.3837833,126.9749167,GGB226000193,인덕원센트럴자이아파트,27196
37.39785,126.9868833,GGB226000204,숲속마을1단지.통합농협IT센터,27198
37.3968667,126.98615,GGB226000205,숲속마을1단지,27200
37.4038167,126.9863,GGB226000206,숲속마을3.5단지,27199
37.4035,126.9865,GGB226000207,숲속마을3.5단지,27201
37.40125,126.9858,GGB226000208,숲속마을4단지,27202
37.4012333,126.9855667,GGB226000209,숲속마을4단지,27203
37.3896833,126.98145,GGB226000210,내손이편한세상1단지,27119
37.3701,126.9662167,GGB226000211,모락고등학교,27204
37.3612333,126.9667333,GGB226000220,대명구름채.더샵캐슬아파트.경기중앙교회,27216
37.3611333,126.96665,GGB226000221,더샵캐슬.대명구름채아파트.경기중앙교회,27217
37.3593167,126.9661333,GGB226000222,근로자복지회관,27218
37.3960667,126.9855,GGB226000223,숲속마을입구.의왕고용복지플러스센터,27206
37.39605,126.9851667,GGB226000224,숲속마을입구.의왕고용복지플러스센터,27207
37.4003833,126.9872833,GGB226000227,숲속마을2단지,27221
37.4009333,126.9887,GGB226000228,숲속마을2단지,27222
37.38495,126.9796,GGB226000238,내손중고등학교.인덕원자이SK뷰,27412
37.38515,126.9795333,GGB226000239,내손중고등학교.인덕원자이SK뷰,27413
37.3621833,126.9664167,GGB226000244,대명구름채.더샵캐슬아파트.가구골목,27234
37.3623,126.96625,GGB226000245,더샵캐슬.대명구름채아파트.가구골목,27235
37.3654167,126.96605,GGB226000246,해모로아파트정문.수선화아파트,27236
37.3647167,126.9648333,GGB226000247,호계현대아파트,27237
37.3847667,126.9829167,GGB226000251,인덕원자이SK뷰아파트,27241
37.3800833,126.9729333,GGB226000340,롯데마트,27330
37.3792667,126.978,GGB226000361,계원예술대학교입구,27347
37.3796167,126.9769167,GGB226000362,계원예술대학교입구,27348
37.3581333,126.9637,GGB226000392,오전공단,27377
37.35785,126.96375,GGB226000393,오전공단,27378
37.3571667,126.9614833,GGB226000394,삼천리자전거,27379
37.3567833,126.9611833,GGB226000395,삼천리자전거,27380
37.3796,126.9726833,GGB226000414,롯데마트,27405
37.37885,126.98335,GGB226000415,갈미한글공원,27406
37.3781167,126.9838167,GGB226000416,갈미한글공원,27407
37.4055167,126.9871167,GGB277101753,차량출발(미정차),0
37.38315,126.9528,GGB277101779,방축사거리(미정차),0
37.39525,126.9488833,GGB277102195,샛별마을한양6단지(미정차),0
37.3988833,126.9453,GGB277102196,학운교(미정차),0
37.4199333,126.89515,GGB277102421,석수동버스공영차고지(미정차),0
37.4094167,126.8934167,GGB277102746,충훈부차고지(미정차),0
37.3964,126.9391167,GGB277102750,비산교(미정차),0
37.42345,126.9001833,GGB277102916,석수IC(미정차),0
37.4237833,126.9001833,GGB277102917,석수IC(미정차),0
37.3865667,126.9446,GGB277103081,경원여객안양차고지(미정차),0
37.3976,126.9691833,GGB277103100,평촌차고지(미정차),0
37.3975167,126.9691333,GGB277103101,평촌차고지(미정차),0
37.39435,126.9599167,GGB277103103,국토연구원사거리(미정차),0
37.39285,126.9554667,GGB277103105,시청사거리(미정차),0
37.4202167,126.8949833,GGB277104392,석수동버스공영차고지(미정차),0
37.4206833,126.9070333,GGB277104406,석수주유소삼거리(미정차),0
37.4060167,126.9870333,GGB277104727,차량대기(미정차),0
37.4047667,126.9866,GGB277104728,기점진입전(미정차),0
37.3843167,126.9016167,GGB277104911,차고지(미정차),0
