dong,category,sales_amount,sales_count
평안동,의료/건강,41437127454,270338
평안동,학문/교육,1299645201,4725
평촌동,공공/기업/단체,50796602,1366
평촌동,미디어/통신,96726835,5728
평촌동,생활서비스,5610857324,123937
평촌동,소매/유통,15969675711,582725
평촌동,여가/오락,1064717645,28529
평촌동,음식,6238543527,345779
평촌동,의료/건강,5289290162,142330
평촌동,학문/교육,1506932523,17020
호계1동,공공/기업/단체,1687895192,8681
호계1동,공연/전시,1951619,14
호계1동,미디어/통신,29070934,404
호계1동,생활서비스,4579956825,114625
호계1동,소매/유통,13890676529,735076
호계1동,여가/오락,893106596,29629
호계1동,음식,9543983561,582927
호계1동,의료/건강,11855336458,265851
호계1동,학문/교육,1692356054,10505
호계2동,공공/기업/단체,533226485,10754
호계2동,미디어/통신,499999,17
호계2동,생활서비스,88049909247,217484
호계2동,소매/유통,7554770217,409324
호계2동,여가/오락,931536483,19231
호계2동,음식,5788032414,304076
호계2동,의료/건강,3627399695,65195
호계2동,학문/교육,2296428068,8202
호계3동,공공/기업/단체,74494022,2644
호계3동,공연/전시,762954,67
호계3동,미디어/통신,1135635,22
호계3동,생활서비스,4002871662,89780
호계3동,소매/유통,8164194007,448885
호계3동,여가/오락,840311268,11295
호계3동,음식,6381072147,251793
호계3동,의료/건강,5929310753,159679
호계3동,학문/교육,1184507357,5848
호현동,공공/기업/단체,80708055,12033
호현동,미디어/통신,233676,19
호현동,생활서비스,7678318489,133600
호현동,소매/유통,3795038558,241806
호현동,여가/오락,504169947,17343
호현동,음식,1896518005,100953
호현동,의료/건강,1165892672,42046
호현동,학문/교육,1620087141,4888
